agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,0,48,94.39000000000198,0.03136363636363639,39610.0,242.0
Q-Learning,0,49,101.160000000002,0.02089506172839514,39934.0,324.0
Q-Learning,0,50,108.20000000000202,0.023703703703703765,40231.0,297.0
Q-Learning,0,51,116.06000000000202,0.036558139534883724,40446.0,215.0
Q-Learning,0,52,123.08000000000204,0.02347826086956528,40745.0,299.0
Q-Learning,0,53,131.13000000000204,0.041071428571428564,40941.0,196.0
Q-Learning,0,54,137.47000000000207,0.017275204359673117,41308.0,367.0
Q-Learning,0,55,143.6800000000021,0.01634210526315799,41688.0,380.0
Q-Learning,0,56,149.34000000000216,0.013011494252873674,42123.0,435.0
Q-Learning,0,57,157.14000000000217,0.03529411764705884,42344.0,221.0
Q-Learning,0,58,163.3800000000022,0.01655172413793113,42721.0,377.0
Q-Learning,0,59,171.15000000000222,0.03468750000000002,42945.0,224.0
Q-Learning,0,60,179.2600000000022,0.04268421052631579,43135.0,190.0
Q-Learning,0,61,187.4200000000022,0.0441081081081081,43320.0,185.0
Q-Learning,0,62,192.87000000000225,0.011951754385965027,43776.0,456.0
Q-Learning,0,63,199.84000000000228,0.022927631578947436,44080.0,304.0
Q-Learning,0,64,207.71000000000228,0.03677570093457944,44294.0,214.0
Q-Learning,0,65,216.09000000000228,0.05141104294478527,44457.0,163.0
Q-Learning,0,66,223.0600000000023,0.022927631578947436,44761.0,304.0
Q-Learning,0,67,231.0600000000023,0.039800995024875614,44962.0,201.0
Q-Learning,0,68,238.9600000000023,0.03744075829383887,45173.0,211.0
Q-Learning,0,69,247.23000000000232,0.047528735632183905,45347.0,174.0
Q-Learning,0,70,255.4900000000023,0.04719999999999999,45522.0,175.0
Q-Learning,0,71,260.72000000000236,0.010941422594142379,46000.0,478.0
Q-Learning,0,72,268.71000000000237,0.03955445544554455,46202.0,202.0
Q-Learning,0,73,277.1200000000024,0.05256249999999999,46362.0,160.0
Q-Learning,0,74,286.0700000000024,0.08443396226415094,46468.0,106.0
Q-Learning,0,75,294.08000000000237,0.04004999999999999,46668.0,200.0
Q-Learning,0,76,302.7000000000024,0.06201438848920863,46807.0,139.0
Q-Learning,0,77,310.1700000000024,0.029409448818897677,47061.0,254.0
Q-Learning,0,78,318.2100000000024,0.04081218274111675,47258.0,197.0
Q-Learning,0,79,326.07000000000244,0.036558139534883724,47473.0,215.0
Q-Learning,0,80,334.1500000000024,0.04186528497409325,47666.0,193.0
Q-Learning,0,81,342.6000000000024,0.05416666666666666,47822.0,156.0
Q-Learning,0,82,350.6800000000024,0.04186528497409325,48015.0,193.0
Q-Learning,0,83,358.14000000000243,0.02925490196078435,48270.0,255.0
